,image,mask
756,archive/Forest Segmented/Forest Segmented/images/195769_sat_17.jpg,archive/Forest Segmented/Forest Segmented/mask/195769_mask_17.jpg
757,archive/Forest Segmented/Forest Segmented/images/195769_sat_18.jpg,archive/Forest Segmented/Forest Segmented/mask/195769_mask_18.jpg
758,archive/Forest Segmented/Forest Segmented/images/20187_sat_04.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_04.jpg
759,archive/Forest Segmented/Forest Segmented/images/20187_sat_05.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_05.jpg
760,archive/Forest Segmented/Forest Segmented/images/20187_sat_14.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_14.jpg
761,archive/Forest Segmented/Forest Segmented/images/20187_sat_15.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_15.jpg
762,archive/Forest Segmented/Forest Segmented/images/20187_sat_24.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_24.jpg
763,archive/Forest Segmented/Forest Segmented/images/20187_sat_25.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_25.jpg
764,archive/Forest Segmented/Forest Segmented/images/20187_sat_35.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_35.jpg
765,archive/Forest Segmented/Forest Segmented/images/20187_sat_36.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_36.jpg
766,archive/Forest Segmented/Forest Segmented/images/20187_sat_45.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_45.jpg
767,archive/Forest Segmented/Forest Segmented/images/20187_sat_46.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_46.jpg
768,archive/Forest Segmented/Forest Segmented/images/20187_sat_55.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_55.jpg
769,archive/Forest Segmented/Forest Segmented/images/20187_sat_56.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_56.jpg
770,archive/Forest Segmented/Forest Segmented/images/20187_sat_57.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_57.jpg
771,archive/Forest Segmented/Forest Segmented/images/20187_sat_65.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_65.jpg
772,archive/Forest Segmented/Forest Segmented/images/20187_sat_67.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_67.jpg
773,archive/Forest Segmented/Forest Segmented/images/20187_sat_68.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_68.jpg
774,archive/Forest Segmented/Forest Segmented/images/20187_sat_75.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_75.jpg
775,archive/Forest Segmented/Forest Segmented/images/20187_sat_77.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_77.jpg
776,archive/Forest Segmented/Forest Segmented/images/20187_sat_78.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_78.jpg
777,archive/Forest Segmented/Forest Segmented/images/20187_sat_85.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_85.jpg
778,archive/Forest Segmented/Forest Segmented/images/20187_sat_86.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_86.jpg
779,archive/Forest Segmented/Forest Segmented/images/20187_sat_88.jpg,archive/Forest Segmented/Forest Segmented/mask/20187_mask_88.jpg
780,archive/Forest Segmented/Forest Segmented/images/202277_sat_01.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_01.jpg
781,archive/Forest Segmented/Forest Segmented/images/202277_sat_02.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_02.jpg
782,archive/Forest Segmented/Forest Segmented/images/202277_sat_03.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_03.jpg
783,archive/Forest Segmented/Forest Segmented/images/202277_sat_04.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_04.jpg
784,archive/Forest Segmented/Forest Segmented/images/202277_sat_05.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_05.jpg
785,archive/Forest Segmented/Forest Segmented/images/202277_sat_06.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_06.jpg
786,archive/Forest Segmented/Forest Segmented/images/202277_sat_07.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_07.jpg
787,archive/Forest Segmented/Forest Segmented/images/202277_sat_08.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_08.jpg
788,archive/Forest Segmented/Forest Segmented/images/202277_sat_10.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_10.jpg
789,archive/Forest Segmented/Forest Segmented/images/202277_sat_11.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_11.jpg
790,archive/Forest Segmented/Forest Segmented/images/202277_sat_12.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_12.jpg
791,archive/Forest Segmented/Forest Segmented/images/202277_sat_13.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_13.jpg
792,archive/Forest Segmented/Forest Segmented/images/202277_sat_14.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_14.jpg
793,archive/Forest Segmented/Forest Segmented/images/202277_sat_15.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_15.jpg
794,archive/Forest Segmented/Forest Segmented/images/202277_sat_16.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_16.jpg
795,archive/Forest Segmented/Forest Segmented/images/202277_sat_17.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_17.jpg
796,archive/Forest Segmented/Forest Segmented/images/202277_sat_21.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_21.jpg
797,archive/Forest Segmented/Forest Segmented/images/202277_sat_22.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_22.jpg
798,archive/Forest Segmented/Forest Segmented/images/202277_sat_23.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_23.jpg
799,archive/Forest Segmented/Forest Segmented/images/202277_sat_24.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_24.jpg
800,archive/Forest Segmented/Forest Segmented/images/202277_sat_25.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_25.jpg
801,archive/Forest Segmented/Forest Segmented/images/202277_sat_26.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_26.jpg
802,archive/Forest Segmented/Forest Segmented/images/202277_sat_27.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_27.jpg
803,archive/Forest Segmented/Forest Segmented/images/202277_sat_28.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_28.jpg
804,archive/Forest Segmented/Forest Segmented/images/202277_sat_31.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_31.jpg
805,archive/Forest Segmented/Forest Segmented/images/202277_sat_32.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_32.jpg
806,archive/Forest Segmented/Forest Segmented/images/202277_sat_35.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_35.jpg
807,archive/Forest Segmented/Forest Segmented/images/202277_sat_36.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_36.jpg
808,archive/Forest Segmented/Forest Segmented/images/202277_sat_37.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_37.jpg
809,archive/Forest Segmented/Forest Segmented/images/202277_sat_38.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_38.jpg
810,archive/Forest Segmented/Forest Segmented/images/202277_sat_42.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_42.jpg
811,archive/Forest Segmented/Forest Segmented/images/202277_sat_43.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_43.jpg
812,archive/Forest Segmented/Forest Segmented/images/202277_sat_45.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_45.jpg
813,archive/Forest Segmented/Forest Segmented/images/202277_sat_46.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_46.jpg
814,archive/Forest Segmented/Forest Segmented/images/202277_sat_47.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_47.jpg
815,archive/Forest Segmented/Forest Segmented/images/202277_sat_53.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_53.jpg
816,archive/Forest Segmented/Forest Segmented/images/202277_sat_54.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_54.jpg
817,archive/Forest Segmented/Forest Segmented/images/202277_sat_55.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_55.jpg
818,archive/Forest Segmented/Forest Segmented/images/202277_sat_56.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_56.jpg
819,archive/Forest Segmented/Forest Segmented/images/202277_sat_57.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_57.jpg
820,archive/Forest Segmented/Forest Segmented/images/202277_sat_58.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_58.jpg
821,archive/Forest Segmented/Forest Segmented/images/202277_sat_63.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_63.jpg
822,archive/Forest Segmented/Forest Segmented/images/202277_sat_64.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_64.jpg
823,archive/Forest Segmented/Forest Segmented/images/202277_sat_65.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_65.jpg
824,archive/Forest Segmented/Forest Segmented/images/202277_sat_66.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_66.jpg
825,archive/Forest Segmented/Forest Segmented/images/202277_sat_70.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_70.jpg
826,archive/Forest Segmented/Forest Segmented/images/202277_sat_71.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_71.jpg
827,archive/Forest Segmented/Forest Segmented/images/202277_sat_72.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_72.jpg
828,archive/Forest Segmented/Forest Segmented/images/202277_sat_73.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_73.jpg
829,archive/Forest Segmented/Forest Segmented/images/202277_sat_74.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_74.jpg
830,archive/Forest Segmented/Forest Segmented/images/202277_sat_75.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_75.jpg
831,archive/Forest Segmented/Forest Segmented/images/202277_sat_76.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_76.jpg
832,archive/Forest Segmented/Forest Segmented/images/202277_sat_78.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_78.jpg
833,archive/Forest Segmented/Forest Segmented/images/202277_sat_80.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_80.jpg
834,archive/Forest Segmented/Forest Segmented/images/202277_sat_81.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_81.jpg
835,archive/Forest Segmented/Forest Segmented/images/202277_sat_82.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_82.jpg
836,archive/Forest Segmented/Forest Segmented/images/202277_sat_83.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_83.jpg
837,archive/Forest Segmented/Forest Segmented/images/202277_sat_85.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_85.jpg
838,archive/Forest Segmented/Forest Segmented/images/202277_sat_86.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_86.jpg
839,archive/Forest Segmented/Forest Segmented/images/202277_sat_87.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_87.jpg
840,archive/Forest Segmented/Forest Segmented/images/202277_sat_88.jpg,archive/Forest Segmented/Forest Segmented/mask/202277_mask_88.jpg
841,archive/Forest Segmented/Forest Segmented/images/204494_sat_03.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_03.jpg
842,archive/Forest Segmented/Forest Segmented/images/204494_sat_04.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_04.jpg
843,archive/Forest Segmented/Forest Segmented/images/204494_sat_06.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_06.jpg
844,archive/Forest Segmented/Forest Segmented/images/204494_sat_07.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_07.jpg
845,archive/Forest Segmented/Forest Segmented/images/204494_sat_10.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_10.jpg
846,archive/Forest Segmented/Forest Segmented/images/204494_sat_11.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_11.jpg
847,archive/Forest Segmented/Forest Segmented/images/204494_sat_12.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_12.jpg
848,archive/Forest Segmented/Forest Segmented/images/204494_sat_13.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_13.jpg
849,archive/Forest Segmented/Forest Segmented/images/204494_sat_15.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_15.jpg
850,archive/Forest Segmented/Forest Segmented/images/204494_sat_16.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_16.jpg
851,archive/Forest Segmented/Forest Segmented/images/204494_sat_20.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_20.jpg
852,archive/Forest Segmented/Forest Segmented/images/204494_sat_21.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_21.jpg
853,archive/Forest Segmented/Forest Segmented/images/204494_sat_22.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_22.jpg
854,archive/Forest Segmented/Forest Segmented/images/204494_sat_23.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_23.jpg
855,archive/Forest Segmented/Forest Segmented/images/204494_sat_24.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_24.jpg
856,archive/Forest Segmented/Forest Segmented/images/204494_sat_25.jpg,archive/Forest Segmented/Forest Segmented/mask/204494_mask_25.jpg
857,archive/Forest Segmented/Forest Segmented/images/208495_sat_06.jpg,archive/Forest Segmented/Forest Segmented/mask/208495_mask_06.jpg
858,archive/Forest Segmented/Forest Segmented/images/208495_sat_07.jpg,archive/Forest Segmented/Forest Segmented/mask/208495_mask_07.jpg
859,archive/Forest Segmented/Forest Segmented/images/208495_sat_08.jpg,archive/Forest Segmented/Forest Segmented/mask/208495_mask_08.jpg
860,archive/Forest Segmented/Forest Segmented/images/208495_sat_16.jpg,archive/Forest Segmented/Forest Segmented/mask/208495_mask_16.jpg
861,archive/Forest Segmented/Forest Segmented/images/208495_sat_17.jpg,archive/Forest Segmented/Forest Segmented/mask/208495_mask_17.jpg
862,archive/Forest Segmented/Forest Segmented/images/208495_sat_18.jpg,archive/Forest Segmented/Forest Segmented/mask/208495_mask_18.jpg
863,archive/Forest Segmented/Forest Segmented/images/208695_sat_71.jpg,archive/Forest Segmented/Forest Segmented/mask/208695_mask_71.jpg
864,archive/Forest Segmented/Forest Segmented/images/208695_sat_72.jpg,archive/Forest Segmented/Forest Segmented/mask/208695_mask_72.jpg
865,archive/Forest Segmented/Forest Segmented/images/208695_sat_73.jpg,archive/Forest Segmented/Forest Segmented/mask/208695_mask_73.jpg
866,archive/Forest Segmented/Forest Segmented/images/208695_sat_74.jpg,archive/Forest Segmented/Forest Segmented/mask/208695_mask_74.jpg
867,archive/Forest Segmented/Forest Segmented/images/208695_sat_81.jpg,archive/Forest Segmented/Forest Segmented/mask/208695_mask_81.jpg
868,archive/Forest Segmented/Forest Segmented/images/208695_sat_82.jpg,archive/Forest Segmented/Forest Segmented/mask/208695_mask_82.jpg
869,archive/Forest Segmented/Forest Segmented/images/208695_sat_84.jpg,archive/Forest Segmented/Forest Segmented/mask/208695_mask_84.jpg
870,archive/Forest Segmented/Forest Segmented/images/208695_sat_85.jpg,archive/Forest Segmented/Forest Segmented/mask/208695_mask_85.jpg
871,archive/Forest Segmented/Forest Segmented/images/210473_sat_02.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_02.jpg
872,archive/Forest Segmented/Forest Segmented/images/210473_sat_03.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_03.jpg
873,archive/Forest Segmented/Forest Segmented/images/210473_sat_05.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_05.jpg
874,archive/Forest Segmented/Forest Segmented/images/210473_sat_07.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_07.jpg
875,archive/Forest Segmented/Forest Segmented/images/210473_sat_10.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_10.jpg
876,archive/Forest Segmented/Forest Segmented/images/210473_sat_11.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_11.jpg
877,archive/Forest Segmented/Forest Segmented/images/210473_sat_12.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_12.jpg
878,archive/Forest Segmented/Forest Segmented/images/210473_sat_13.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_13.jpg
879,archive/Forest Segmented/Forest Segmented/images/210473_sat_14.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_14.jpg
880,archive/Forest Segmented/Forest Segmented/images/210473_sat_15.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_15.jpg
881,archive/Forest Segmented/Forest Segmented/images/210473_sat_16.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_16.jpg
882,archive/Forest Segmented/Forest Segmented/images/210473_sat_17.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_17.jpg
883,archive/Forest Segmented/Forest Segmented/images/210473_sat_20.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_20.jpg
884,archive/Forest Segmented/Forest Segmented/images/210473_sat_21.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_21.jpg
885,archive/Forest Segmented/Forest Segmented/images/210473_sat_24.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_24.jpg
886,archive/Forest Segmented/Forest Segmented/images/210473_sat_25.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_25.jpg
887,archive/Forest Segmented/Forest Segmented/images/210473_sat_26.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_26.jpg
888,archive/Forest Segmented/Forest Segmented/images/210473_sat_27.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_27.jpg
889,archive/Forest Segmented/Forest Segmented/images/210473_sat_28.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_28.jpg
890,archive/Forest Segmented/Forest Segmented/images/210473_sat_30.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_30.jpg
891,archive/Forest Segmented/Forest Segmented/images/210473_sat_31.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_31.jpg
892,archive/Forest Segmented/Forest Segmented/images/210473_sat_32.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_32.jpg
893,archive/Forest Segmented/Forest Segmented/images/210473_sat_33.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_33.jpg
894,archive/Forest Segmented/Forest Segmented/images/210473_sat_34.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_34.jpg
895,archive/Forest Segmented/Forest Segmented/images/210473_sat_35.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_35.jpg
896,archive/Forest Segmented/Forest Segmented/images/210473_sat_36.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_36.jpg
897,archive/Forest Segmented/Forest Segmented/images/210473_sat_37.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_37.jpg
898,archive/Forest Segmented/Forest Segmented/images/210473_sat_38.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_38.jpg
899,archive/Forest Segmented/Forest Segmented/images/210473_sat_42.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_42.jpg
900,archive/Forest Segmented/Forest Segmented/images/210473_sat_43.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_43.jpg
901,archive/Forest Segmented/Forest Segmented/images/210473_sat_44.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_44.jpg
902,archive/Forest Segmented/Forest Segmented/images/210473_sat_45.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_45.jpg
903,archive/Forest Segmented/Forest Segmented/images/210473_sat_46.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_46.jpg
904,archive/Forest Segmented/Forest Segmented/images/210473_sat_47.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_47.jpg
905,archive/Forest Segmented/Forest Segmented/images/210473_sat_48.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_48.jpg
906,archive/Forest Segmented/Forest Segmented/images/210473_sat_50.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_50.jpg
907,archive/Forest Segmented/Forest Segmented/images/210473_sat_51.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_51.jpg
908,archive/Forest Segmented/Forest Segmented/images/210473_sat_53.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_53.jpg
909,archive/Forest Segmented/Forest Segmented/images/210473_sat_55.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_55.jpg
910,archive/Forest Segmented/Forest Segmented/images/210473_sat_56.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_56.jpg
911,archive/Forest Segmented/Forest Segmented/images/210473_sat_57.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_57.jpg
912,archive/Forest Segmented/Forest Segmented/images/210473_sat_58.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_58.jpg
913,archive/Forest Segmented/Forest Segmented/images/210473_sat_60.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_60.jpg
914,archive/Forest Segmented/Forest Segmented/images/210473_sat_61.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_61.jpg
915,archive/Forest Segmented/Forest Segmented/images/210473_sat_63.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_63.jpg
916,archive/Forest Segmented/Forest Segmented/images/210473_sat_64.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_64.jpg
917,archive/Forest Segmented/Forest Segmented/images/210473_sat_65.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_65.jpg
918,archive/Forest Segmented/Forest Segmented/images/210473_sat_66.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_66.jpg
919,archive/Forest Segmented/Forest Segmented/images/210473_sat_67.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_67.jpg
920,archive/Forest Segmented/Forest Segmented/images/210473_sat_68.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_68.jpg
921,archive/Forest Segmented/Forest Segmented/images/210473_sat_70.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_70.jpg
922,archive/Forest Segmented/Forest Segmented/images/210473_sat_73.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_73.jpg
923,archive/Forest Segmented/Forest Segmented/images/210473_sat_75.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_75.jpg
924,archive/Forest Segmented/Forest Segmented/images/210473_sat_76.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_76.jpg
925,archive/Forest Segmented/Forest Segmented/images/210473_sat_77.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_77.jpg
926,archive/Forest Segmented/Forest Segmented/images/210473_sat_78.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_78.jpg
927,archive/Forest Segmented/Forest Segmented/images/210473_sat_80.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_80.jpg
928,archive/Forest Segmented/Forest Segmented/images/210473_sat_81.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_81.jpg
929,archive/Forest Segmented/Forest Segmented/images/210473_sat_82.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_82.jpg
930,archive/Forest Segmented/Forest Segmented/images/210473_sat_86.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_86.jpg
931,archive/Forest Segmented/Forest Segmented/images/210473_sat_87.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_87.jpg
932,archive/Forest Segmented/Forest Segmented/images/210473_sat_88.jpg,archive/Forest Segmented/Forest Segmented/mask/210473_mask_88.jpg
933,archive/Forest Segmented/Forest Segmented/images/215525_sat_00.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_00.jpg
934,archive/Forest Segmented/Forest Segmented/images/215525_sat_01.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_01.jpg
935,archive/Forest Segmented/Forest Segmented/images/215525_sat_02.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_02.jpg
936,archive/Forest Segmented/Forest Segmented/images/215525_sat_03.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_03.jpg
937,archive/Forest Segmented/Forest Segmented/images/215525_sat_04.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_04.jpg
938,archive/Forest Segmented/Forest Segmented/images/215525_sat_10.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_10.jpg
939,archive/Forest Segmented/Forest Segmented/images/215525_sat_11.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_11.jpg
940,archive/Forest Segmented/Forest Segmented/images/215525_sat_13.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_13.jpg
941,archive/Forest Segmented/Forest Segmented/images/215525_sat_14.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_14.jpg
942,archive/Forest Segmented/Forest Segmented/images/215525_sat_16.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_16.jpg
943,archive/Forest Segmented/Forest Segmented/images/215525_sat_17.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_17.jpg
944,archive/Forest Segmented/Forest Segmented/images/215525_sat_26.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_26.jpg
945,archive/Forest Segmented/Forest Segmented/images/215525_sat_27.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_27.jpg
946,archive/Forest Segmented/Forest Segmented/images/215525_sat_64.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_64.jpg
947,archive/Forest Segmented/Forest Segmented/images/215525_sat_74.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_74.jpg
948,archive/Forest Segmented/Forest Segmented/images/215525_sat_80.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_80.jpg
949,archive/Forest Segmented/Forest Segmented/images/215525_sat_81.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_81.jpg
950,archive/Forest Segmented/Forest Segmented/images/215525_sat_82.jpg,archive/Forest Segmented/Forest Segmented/mask/215525_mask_82.jpg
951,archive/Forest Segmented/Forest Segmented/images/217085_sat_03.jpg,archive/Forest Segmented/Forest Segmented/mask/217085_mask_03.jpg
952,archive/Forest Segmented/Forest Segmented/images/217085_sat_04.jpg,archive/Forest Segmented/Forest Segmented/mask/217085_mask_04.jpg
953,archive/Forest Segmented/Forest Segmented/images/217085_sat_05.jpg,archive/Forest Segmented/Forest Segmented/mask/217085_mask_05.jpg
954,archive/Forest Segmented/Forest Segmented/images/217085_sat_57.jpg,archive/Forest Segmented/Forest Segmented/mask/217085_mask_57.jpg
955,archive/Forest Segmented/Forest Segmented/images/217085_sat_58.jpg,archive/Forest Segmented/Forest Segmented/mask/217085_mask_58.jpg
956,archive/Forest Segmented/Forest Segmented/images/217085_sat_67.jpg,archive/Forest Segmented/Forest Segmented/mask/217085_mask_67.jpg
957,archive/Forest Segmented/Forest Segmented/images/217085_sat_68.jpg,archive/Forest Segmented/Forest Segmented/mask/217085_mask_68.jpg
